Time: 2020-08-30 10:02:39.858116, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:02:44.872113, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:02:49.881282, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:02:54.897491, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:02:59.922223, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:03:04.930516, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:03:09.950742, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:03:14.958484, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:03:19.969297, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:03:24.984251, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:03:29.991165, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:03:35.018813, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:03:40.023045, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:03:45.032679, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:03:50.046659, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:03:55.057330, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:04:00.084353, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:04:05.101289, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:04:10.109687, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:04:15.119963, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:04:20.129242, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:04:25.135122, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:04:30.140215, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:04:35.146367, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:04:40.157258, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:04:45.174635, Messages: 2, Members Joined: 0 
Time: 2020-08-30 10:04:50.184099, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:04:55.199611, Messages: 2, Members Joined: 0 
Time: 2020-08-30 10:05:00.233238, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:05:05.237021, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:05:10.242336, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:05:15.248631, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:05:20.259643, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:05:25.267483, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:05:30.272581, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:05:35.278957, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:05:40.299346, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:05:45.314562, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:05:50.323920, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:05:55.344422, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:06:00.359706, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:06:05.374497, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:06:10.385481, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:06:15.391578, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:06:20.410415, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:06:25.418050, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:06:30.432341, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:06:35.438593, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:06:40.453823, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:06:45.467435, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:06:50.473807, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:06:55.477929, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:07:00.488044, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:07:05.503085, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:07:10.517230, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:07:15.526657, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:07:20.534527, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:07:25.549727, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:07:30.564540, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:07:35.578473, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:07:40.583465, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:07:45.596113, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:07:50.610669, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:07:55.617665, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:08:00.631863, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:08:05.646384, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:08:10.650538, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:08:15.656652, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:08:20.661857, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:08:25.676713, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:08:30.690964, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:08:35.701123, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:08:40.715197, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:08:45.722272, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:08:50.736416, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:08:55.751399, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:09:00.761099, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:09:05.777713, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:09:10.783756, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:09:15.801974, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:09:20.820421, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:09:25.834958, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:09:30.840732, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:09:35.856135, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:09:40.863343, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:09:45.873218, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:09:50.887803, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:09:55.901454, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:10:00.917713, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:10:05.932698, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:10:10.950362, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:10:15.964413, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:10:20.970160, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:10:25.980991, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:10:30.983504, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:10:35.997975, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:10:41.004545, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:10:46.020097, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:10:51.035293, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:10:56.043139, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:11:01.048438, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:11:06.054108, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:11:11.078761, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:11:16.087602, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:11:21.092723, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:11:26.107954, Messages: 0, Members Joined: 0 
